Date,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
3/27/2020,Yaroslavl region,76,1,0,0,2,0,0
3/28/2020,Bryansk region,32,1,0,0,3,0,0
3/28/2020,Ivanovo region,37,5,0,0,7,0,0
3/28/2020,Kaliningrad region,39,3,0,0,11,0,2
3/28/2020,Kemerovo region,42,0,0,1,3,0,2
3/28/2020,Kirov region,43,0,0,2,8,0,2
3/28/2020,Kostroma region,44,1,0,0,1,0,0
3/28/2020,Krasnodar region,23,8,0,0,17,0,0
3/28/2020,Krasnoyarsk region,24,4,0,0,12,0,3
3/28/2020,Leningrad region,47,4,0,0,7,0,0
3/28/2020,Lipetsk region,48,3,0,0,8,0,3
3/28/2020,Moscow,77,114,0,0,817,3,18
3/28/2020,Moscow region,50,36,0,0,85,0,9
3/28/2020,Nizhny Novgorod Region,52,3,0,0,11,0,1
3/28/2020,Novosibirsk region,54,2,0,0,7,0,0
3/28/2020,Orenburg region,56,2,0,0,6,0,0
3/28/2020,Perm,59,1,0,0,11,0,0
3/28/2020,Republic of Adygea,1,1,0,0,1,0,0
3/28/2020,The Republic of Buryatia,3,6,0,0,8,0,0
3/28/2020,Republic of Crimea,82,1,0,0,15,0,0
3/28/2020,Republic of Tatarstan,16,3,0,0,14,0,1
3/28/2020,Samara Region,63,0,0,1,14,0,1
3/28/2020,St. Petersburg,78,11,0,0,37,0,5
3/28/2020,Saratov region,64,1,0,0,2,0,0
3/28/2020,Sakhalin region,65,4,0,0,4,0,0
3/28/2020,Sverdlovsk region,66,4,0,0,24,0,0
3/28/2020,Smolensk region,67,1,0,0,1,0,0
3/28/2020,Tver region,69,0,0,2,3,0,2
3/28/2020,Tula region,71,3,0,0,11,0,0
3/28/2020,Chelyabinsk region,74,4,0,0,9,0,0
3/28/2020,Chechen Republic,95,2,0,0,5,0,0
3/29/2020,Altai region,22,1,0,0,1,0,0
3/29/2020,Amurskaya Oblast,28,1,0,0,1,0,0
3/29/2020,Belgorod region,31,1,0,0,2,0,0
3/29/2020,Vologda Region,35,2,0,0,2,0,0
3/29/2020,Irkutsk region,38,1,0,0,1,0,0
3/29/2020,Kaliningrad region,39,0,0,0,11,0,2
3/29/2020,Kirov region,43,1,0,0,9,0,2
